Learning_Rate,Batch_Size,Patch_Size,Depth,Hidden_Nodes,Accuracy,Auc,Steps,Time
0.001,128,5,8,128,89.1799986362,0.940434,18550,2644.3544976711273
0.001,128,5,8,256,89.099997282,0.939749,15600,2239.1466026306152
0.001,128,5,16,16,89.4299983978,0.941979,20000,3910.2801926136017
0.001,128,5,16,32,89.2799973488,0.944509,20000,3901.2235214710236
0.001,128,5,16,64,89.2499983311,0.942376,16550,3255.8395204544067
0.001,128,5,16,128,88.8400018215,0.938088,18850,3694.104495048523
0.001,128,5,16,256,88.789999485,0.940011,14900,2950.3991181850433
0.001,128,5,32,16,89.5699977875,0.944534,20000,6572.320271253586
0.001,128,5,32,32,90.07999897,0.940498,20000,6605.609780788422
0.001,128,5,32,64,88.9699995518,0.941396,15950,5298.176538228989
0.001,128,5,32,128,87.7799987793,0.937649,19000,6380.751522541046
0.001,128,5,32,256,86.8499994278,0.93419,16350,5612.693285703659
0.001,256,3,8,16,88.9800012112,0.942692,20000,2994.727132320404
0.001,256,3,8,32,89.0900015831,0.942837,17850,2683.2098503112793
0.001,256,3,8,64,88.069999218,0.935759,18000,2736.5939948558807
0.001,256,3,8,128,88.0999982357,0.935456,12000,1870.0767829418182
0.001,256,3,8,256,87.2200012207,0.939201,10900,1714.6736316680908
0.001,256,3,16,16,89.4200026989,0.944718,17000,3173.0874984264374
0.001,256,3,16,32,88.6099994183,0.940579,13850,2534.251716852188
0.001,256,3,16,64,88.8000011444,0.938244,11700,2219.749632835388
0.001,256,3,16,128,88.8899981976,0.938933,9600,1816.9651155471802
0.001,256,3,16,256,88.8999998569,0.937069,10600,2055.153059720993
0.001,256,3,32,16,88.9299988747,0.936192,20000,6577.121993780136
0.001,256,3,32,32,88.4400010109,0.940045,13750,4757.470787286758
0.001,256,3,32,64,88.630002737,0.934571,14200,5153.698223352432
0.001,256,3,32,128,87.9499971867,0.938231,11100,4051.1981003284454
0.001,256,3,32,256,87.9700005054,0.931969,11050,4186.140969991684
0.001,256,5,8,16,89.2599999905,0.94491,20000,5617.041212081909
0.001,256,5,8,32,89.3400013447,0.944047,12800,3665.2246289253235
0.001,256,5,8,64,88.9500021935,0.945602,13100,3803.510775089264
0.001,256,5,8,128,89.0100002289,0.941374,10100,2865.6048595905304
0.001,256,5,8,256,88.8400018215,0.941086,9750,2430.095062971115
0.001,256,5,16,16,89.509999752,0.944691,14250,4472.689527988434
0.001,256,5,16,32,88.8000011444,0.94395,13700,4331.473423957825
0.001,256,5,16,64,89.5600020885,0.943293,12050,3762.8276278972626
0.001,256,5,16,128,89.0399992466,0.94151,10350,3153.2434391975403
0.001,256,5,16,256,88.2099986076,0.936787,10250,3237.569211244583
0.001,256,5,32,16,88.8999998569,0.943511,15000,8084.468580245972
0.001,256,5,32,32,88.3899986744,0.941955,15500,8384.602685451508
0.001,256,5,32,64,89.209997654,0.94279,12100,6578.879301548004
0.001,256,5,32,128,88.7799978256,0.936123,11900,6383.541346788406
0.001,256,5,32,256,88.9999985695,0.935128,13050,7150.352385997772
0.001,32,3,8,128,88.4779989719,0.923321,10000,1118.2927858829498
0.001,32,3,8,128,88.4100019932,0.921817,10000,859.9181067943573
0.001,32,3,8,128,81.3724994659,0.767797,1000,80.07708764076233
0.001,128,5,8,16,89.7780001163,0.95049,50000,13500.279992580414
0.001,128,5,8,16,90.426003933,0.956025,200000,3616.1437957286835
0.001,128,5,8,16,90.5359864235,0.958732,400000,7086.6177713871
0.001,128,5,8,16,90.0974214077,0.943703,20000,538.9257435798645
